code,name,market,rs_rating,mom_trend,rsi14_3d,ret_3d_pct
5388,中磊,TWSE,21,加速,53→56→59,7.0
8033,雷虎,TWSE,4,維持,40→43→46,4.2
5471,松翰,TWSE,40,加速,65→65→68,13.4
1773,勝一,TWSE,33,加速,45→58→63,11.1
2801,彰銀,TWSE,9,轉弱,39→38→38,-1.0
6202,盛群,TWSE,12,加速,52→58→61,16.3
4551,智伸科,TWSE,40,加速,58→66→62,6.5
1514,亞力,TWSE,14,加速,46→54→60,7.9
3545,敦泰,TWSE,33,加速,60→67→67,9.8
8374,羅昇,TWSE,38,維持,58→60→67,6.9
2347,聯強,TWSE,35,加速,55→57→56,1.9
6005,群益證,TWSE,18,加速,56→62→64,4.1
5876,上海商銀,TWSE,14,轉弱,56→56→55,-1.2
1503,士電,TWSE,5,維持,36→45→53,7.4
5434,崇越,TWSE,44,加速,47→58→68,14.1
9933,中鼎,TWSE,42,加速,63→66→64,5.2
4526,東台,TWSE,22,加速,54→57→61,5.5
1215,卜蜂,TWSE,11,維持,55→60→57,1.1
2105,正新,TWSE,19,轉弱,53→57→51,-1.5
4949,有成精密,TWSE,86,加速,49→58→60,13.7
5234,達興材料,TWSE,17,加速,47→51→59,11.6
3535,晶彩科,TWSE,36,維持,47→49→52,-3.4
3105,穩懋,TPEx,78,加速,44→51→59,16.3
8299,群聯,TPEx,32,維持,51→53→55,-1.4
6147,頎邦,TPEx,99,轉弱,77→78→73,6.4
6223,旺矽,TPEx,92,維持,61→60→65,5.3
3491,昇達科,TPEx,39,加速,55→59→62,9.3
3260,威剛,TPEx,51,維持,47→49→50,7.1
3081,聯亞,TPEx,90,維持,51→50→54,8.8
5274,信驊,TPEx,79,加速,48→54→61,11.6
5289,宜鼎,TPEx,88,維持,61→62→63,-0.3
6683,雍智科技,TPEx,82,維持,46→44→43,1.9
5347,世界,TPEx,32,維持,54→56→55,2.9
4749,新應材,TPEx,44,加速,48→58→64,18.8
6488,環球晶,TPEx,68,加速,49→55→57,7.8
3163,波若威,TPEx,68,加速,44→51→57,27.2
8043,蜜望實,TPEx,73,加速,66→71→73,15.0
8027,鈦昇,TPEx,95,轉弱,63→63→64,-8.1
3374,精材,TPEx,51,維持,55→58→61,6.8
3324,雙鴻,TPEx,12,維持,36→45→46,4.6
3357,臺慶科,TPEx,73,加速,70→76→80,32.9
3211,順達,TPEx,50,加速,43→45→56,8.1
1815,富喬,TPEx,9,維持,40→43→50,4.9
6187,萬潤,TPEx,94,維持,48→48→52,2.2
5425,台半,TPEx,54,維持,72→74→69,1.8
6207,雷科,TPEx,73,維持,70→76→77,7.2
8096,擎亞,TPEx,67,加速,69→69→77,12.3
3707,漢磊,TPEx,58,加速,57→64→67,14.9
4931,新盛力,TPEx,57,加速,62→64→71,15.8
6274,台燿,TPEx,96,加速,55→63→69,18.8
8358,金居,TPEx,76,加速,63→68→70,21.7
6510,精測,TPEx,7,維持,44→43→44,-1.6
5351,鈺創,TPEx,48,維持,48→49→55,4.8
5328,華容,TPEx,35,加速,65→72→75,26.3
6182,合晶,TPEx,85,加速,71→77→81,25.9
1785,光洋科,TPEx,92,維持,46→48→49,0.7
8064,東捷,TPEx,97,轉弱,62→60→65,-3.3
3363,上詮,TPEx,63,維持,47→51→54,9.9
5386,青雲,TPEx,95,加速,55→60→63,18.3
3529,力旺,TPEx,61,維持,42→46→48,9.5
5483,中美晶,TPEx,40,加速,48→54→57,8.5
3264,欣銓,TPEx,54,維持,49→54→55,3.3
6291,沛亨,TPEx,83,加速,53→57→63,14.6
6127,九豪,TPEx,50,加速,62→64→62,10.6
4768,晶呈科技,TPEx,26,維持,31→44→47,7.8
3293,鈊象,TPEx,22,維持,45→51→54,2.7
4991,環宇-KY,TPEx,96,加速,56→60→65,22.0
3663,鑫科,TPEx,49,加速,59→64→66,4.2
3131,弘塑,TPEx,76,維持,38→43→48,9.3
3680,家登,TPEx,51,加速,48→55→59,10.5
8086,宏捷科,TPEx,43,加速,48→52→61,12.7
5475,德宏,TPEx,60,維持,40→43→46,1.7
6175,立敦,TPEx,81,加速,81→83→85,19.2
7734,印能科技,TPEx,92,維持,50→52→51,1.5
6290,良維,TPEx,47,維持,49→54→57,3.2
3455,由田,TPEx,95,維持,64→69→63,7.1
5536,聖暉*,TPEx,52,維持,54→56→55,-1.8
6284,佳邦,TPEx,35,加速,64→72→80,20.4
4908,前鼎,TPEx,98,加速,69→66→72,15.3
8069,元太,TPEx,35,維持,77→77→72,0.9
4966,譜瑞-KY,TPEx,65,加速,65→68→69,9.2
3217,優群,TPEx,49,加速,65→72→76,9.2
4542,科嶠,TPEx,85,加速,65→71→75,29.1
5439,高技,TPEx,43,維持,47→50→53,2.2
3430,奇鈦科,TPEx,93,加速,66→73→76,15.8
8155,博智,TPEx,83,維持,51→57→57,3.5
6462,神盾,TPEx,41,加速,61→65→68,10.3
5443,均豪,TPEx,54,維持,47→48→51,1.7
6265,方土昶,TPEx,31,加速,49→53→61,13.2
6138,茂達,TPEx,47,加速,68→64→68,12.9
5309,系統電,TPEx,16,加速,62→61→65,7.1
8054,安國,TPEx,10,加速,52→56→59,5.7
3265,台星科,TPEx,42,加速,48→54→60,8.8
3615,安可,TPEx,75,轉弱,68→69→75,5.7
3479,安勤,TPEx,52,加速,77→82→86,24.9
6190,萬泰科,TPEx,64,維持,64→66→68,2.7
4973,廣穎,TPEx,94,維持,61→60→65,4.5
3675,德微,TPEx,79,加速,74→75→76,12.7
3141,晶宏,TPEx,63,加速,70→76→81,25.2
3221,台嘉碩,TPEx,84,加速,60→65→70,24.8
3587,閎康,TPEx,67,維持,48→49→54,3.8
6411,晶焱,TPEx,27,加速,61→72→72,15.0
4951,精拓科,TPEx,86,加速,62→67→70,19.7
4979,華星光,TPEx,68,加速,49→52→56,20.5
6664,群翊,TPEx,61,維持,42→46→54,7.1
3227,原相,TPEx,29,加速,60→63→66,6.6
8289,泰藝,TPEx,90,加速,61→68→73,23.9
6261,久元,TPEx,71,加速,61→59→67,7.8
4760,勤凱,TPEx,79,加速,56→63→69,12.4
6640,均華,TPEx,78,維持,38→49→48,5.4
3490,單井,TPEx,77,加速,73→79→83,15.1
6425,易發,TPEx,49,維持,56→59→59,1.8
3580,友威科,TPEx,64,轉弱,57→57→60,-6.3
4743,合一,TPEx,6,維持,38→55→52,6.0
4772,台特化,TPEx,8,維持,38→45→51,4.3
